Algorithm,Key_Size,Payload_Size,Sample_Num,Encrypt_Delay_sec
RSA,1024,150,85,0.00015979999443516135
RSA,1024,150,86,0.00015839998377487063
RSA,1024,150,87,0.00015850004274398088
RSA,1024,150,88,0.0001765000051818788
RSA,1024,150,89,0.00016360002337023616
RSA,1024,150,90,0.0001629000180400908
RSA,1024,150,91,0.0001640000264160335
RSA,1024,150,92,0.0001571999746374786
RSA,1024,150,93,0.00012290000449866056
RSA,1024,150,94,0.00016230001347139478
RSA,1024,150,95,0.0001626000157557428
RSA,1024,150,96,0.00017559999832883477
RSA,1024,150,97,0.00018369994359090924
RSA,1024,150,98,0.00010010000551119447
RSA,1024,150,99,0.00012140005128458142
RSA,1024,150,100,0.00013589998707175255
RSA,1024,200,1,0.00018169998656958342
RSA,1024,200,2,0.00018989999080076814
RSA,1024,200,3,0.00018770003225654364
RSA,1024,200,4,0.00017930002650246024
RSA,1024,200,5,0.00017740001203492284
RSA,1024,200,6,0.000202000024728477
RSA,1024,200,7,0.00018229999113827944
RSA,1024,200,8,0.00017600000137463212
RSA,1024,200,9,0.00018039997667074203
RSA,1024,200,10,0.00015249999705702066
RSA,1024,200,11,0.00017380004283040762
RSA,1024,200,12,0.00015550001990050077
RSA,1024,200,13,0.00019289995543658733
RSA,1024,200,14,0.0001846000086516142
RSA,1024,200,15,0.00018099998123943806
RSA,1024,200,16,0.00018229999113827944
RSA,1024,200,17,0.00013910001143813133
RSA,1024,200,18,0.00019260001135990024
RSA,1024,200,19,0.0001895000459626317
RSA,1024,200,20,0.000125700025819242
RSA,1024,200,21,0.00019419996533542871
RSA,1024,200,22,0.00018360000103712082
RSA,1024,200,23,0.0001813999842852354
RSA,1024,200,24,0.00017780001508072019
RSA,1024,200,25,0.00014810002176091075
RSA,1024,200,26,0.00016870000399649143
RSA,1024,200,27,0.0001400999608449638
RSA,1024,200,28,0.00012419995618984103
RSA,1024,200,29,0.00011290004476904869
RSA,1024,200,30,0.00011120003182440996
RSA,1024,200,31,0.0001284000463783741
RSA,1024,200,32,0.00019559997599571943
RSA,1024,200,33,0.00011760002234950662
RSA,1024,200,34,0.000159399991389364
RSA,1024,200,35,0.00019479996990412474
RSA,1024,200,36,0.0001922000083141029
RSA,1024,200,37,0.00017660000594332814
RSA,1024,200,38,0.00011969998013228178
RSA,1024,200,39,0.0001947000273503363
RSA,1024,200,40,0.00017919996753335
RSA,1024,200,41,0.00017829996068030596
RSA,1024,200,42,0.00017800001660361886
RSA,1024,200,43,0.00019839999731630087
RSA,1024,200,44,0.00019049999536946416
RSA,1024,200,45,0.00015109998639672995
RSA,1024,200,46,0.0001854999572969973
RSA,1024,200,47,0.0001776000135578215
RSA,1024,200,48,0.00017800001660361886
RSA,1024,200,49,0.00019529997371137142
RSA,1024,200,50,0.0001770000089891255
