Algorithm,Key_Size,Payload_Size,Sample_Num,Encrypt_Delay_sec
ECC,Level_1,150,10,0.0001825000001645094
ECC,Level_1,150,11,0.00012300000003051537
ECC,Level_1,150,12,0.0002551000000039494
ECC,Level_1,150,13,0.00011969999991379154
ECC,Level_1,150,14,0.0001806999998734682
ECC,Level_1,150,15,0.000143900000011854
ECC,Level_1,150,16,0.0003127999998469022
ECC,Level_1,150,17,0.00015989999997145787
ECC,Level_1,150,18,0.0003532999999151798
ECC,Level_1,150,19,0.0001251999999567488
ECC,Level_1,150,20,0.00018260000001646404
ECC,Level_1,150,21,0.0002885000001242588
ECC,Level_1,150,22,0.00015080000002853922
ECC,Level_1,150,23,0.00012859999992542726
ECC,Level_1,150,24,0.00018269999986841867
ECC,Level_1,150,25,0.0002905000001192093
ECC,Level_1,150,26,0.00022420000004785834
ECC,Level_1,150,27,0.00018750000003819878
ECC,Level_1,150,28,0.00018149999982597365
ECC,Level_1,150,29,0.00019959999985985633
ECC,Level_1,150,30,0.00031680000006417686
ECC,Level_1,150,31,0.00030739999988327327
ECC,Level_1,150,32,0.00018900000009125506
ECC,Level_1,150,33,0.00018520000003263704
ECC,Level_1,150,34,0.00021619999984068272
ECC,Level_1,150,35,0.00018180000006395858
ECC,Level_1,150,36,0.0001825000001645094
ECC,Level_1,150,37,0.0003553999999894586
ECC,Level_1,150,38,0.0003153000000111206
ECC,Level_1,150,39,0.0001716000001579232
ECC,Level_1,150,40,0.0002223999999841908
ECC,Level_1,150,41,0.00017419999994672253
ECC,Level_1,150,42,0.00019870000005539623
ECC,Level_1,150,43,0.00018690000001697626
ECC,Level_1,150,44,0.00018440000008013158
ECC,Level_1,150,45,0.00021270000002004963
ECC,Level_1,150,46,0.00018380000005890906
ECC,Level_1,150,47,0.00013080000007903436
ECC,Level_1,150,48,0.00018010000007961935
ECC,Level_1,150,49,0.00018620000014379912
ECC,Level_1,150,50,0.00031469999998989806
ECC,Level_1,150,51,0.0001383000001169421
ECC,Level_1,150,52,0.00015559999997094565
ECC,Level_1,150,53,0.00020360000007713097
ECC,Level_1,150,54,0.00040349999994759855
ECC,Level_1,150,55,0.0002031999999871914
ECC,Level_1,150,56,0.0003008999999565276
ECC,Level_1,150,57,0.00031979999994291575
ECC,Level_1,150,58,0.0003100999999787746
ECC,Level_1,150,59,0.0002329000001282111
ECC,Level_1,150,60,0.00031300000000555883
ECC,Level_1,150,61,0.0003153000000111206
ECC,Level_1,150,62,0.0003159999998842977
ECC,Level_1,150,63,0.00030949999995755206
ECC,Level_1,150,64,0.00016800000003058813
ECC,Level_1,150,65,0.0002017000001615088
ECC,Level_1,150,66,0.00028969999993933016
ECC,Level_1,150,67,0.0001835000000482978
ECC,Level_1,150,68,0.00017969999998967978
ECC,Level_1,150,69,0.0002104000000144879
ECC,Level_1,150,70,0.00022509999985231843
ECC,Level_1,150,71,0.0002194000001054519
ECC,Level_1,150,72,0.00019879999990735087
ECC,Level_1,150,73,0.00014099999998506973
ECC,Level_1,150,74,0.00012930000002597808
ECC,Level_1,150,75,0.00012849999984609894
ECC,Level_1,150,76,0.0003466000000571512
ECC,Level_1,150,77,0.00012110000011489319
ECC,Level_1,150,78,0.00030629999992015655
ECC,Level_1,150,79,0.00020200000017212005
ECC,Level_1,150,80,0.0003153000000111206
ECC,Level_1,150,81,0.0003163999999742373
ECC,Level_1,150,82,0.00031469999998989806
ECC,Level_1,150,83,0.00017909999996845727
ECC,Level_1,150,84,0.00017950000005839684
ECC,Level_1,150,85,0.0001983999998174113
ECC,Level_1,150,86,0.00020739999990837532
ECC,Level_1,150,87,0.0001887000000806438
ECC,Level_1,150,88,0.0001794000002064422
ECC,Level_1,150,89,0.00021700000002056186
ECC,Level_1,150,90,0.0003255000001445296
ECC,Level_1,150,91,0.0003027999998721498
ECC,Level_1,150,92,0.00019610000003922323
ECC,Level_1,150,93,0.00018470000009074283
ECC,Level_1,150,94,0.0003153999998630752
ECC,Level_1,150,95,0.00018130000012206438
ECC,Level_1,150,96,0.00015830000006644696
ECC,Level_1,150,97,0.00046910000014577236
ECC,Level_1,150,98,0.0003451000000040949
ECC,Level_1,150,99,0.00038319999998748244
ECC,Level_1,150,100,0.0003134000000954984
ECC,Level_1,200,1,0.00018249999993713573
ECC,Level_1,200,2,0.00018039999986285693
ECC,Level_1,200,3,0.00016310000000885339
ECC,Level_1,200,4,0.00012379999998302083
ECC,Level_1,200,5,0.0003106999999999971
ECC,Level_1,200,6,0.00031110000008993666
ECC,Level_1,200,7,0.00037450000013450335
ECC,Level_1,200,8,0.00018360000012762612
ECC,Level_1,200,9,0.00030160000005707843
ECC,Level_1,200,10,0.00030619999984082824
ECC,Level_1,200,11,0.00037290000000211876
ECC,Level_1,200,12,0.0003220999999484775
ECC,Level_1,200,13,0.0003019999999196443
ECC,Level_1,200,14,0.00019729999985429458
ECC,Level_1,200,15,0.00031310000008488714
ECC,Level_1,200,16,0.00017430000002605084
ECC,Level_1,200,17,0.00037290000000211876
ECC,Level_1,200,18,0.00019449999990683864
ECC,Level_1,200,19,0.0001835000000482978
ECC,Level_1,200,20,0.00019869999982802256
ECC,Level_1,200,21,0.0001781999999366235
ECC,Level_1,200,22,0.0001720000000204891
ECC,Level_1,200,23,0.0001279000000522501
ECC,Level_1,200,24,0.00014529999998558196
ECC,Level_1,200,25,0.00036610000006476184
ECC,Level_1,200,26,0.00019079999992754892
ECC,Level_1,200,27,0.0003120000001217704
ECC,Level_1,200,28,0.0003175000001647277
ECC,Level_1,200,29,0.00040560000002187735
ECC,Level_1,200,30,0.00016030000006139744
ECC,Level_1,200,31,0.0002162000000680564
ECC,Level_1,200,32,0.00015830000006644696
ECC,Level_1,200,33,0.0003139000000373926
ECC,Level_1,200,34,0.0003457000000253174
ECC,Level_1,200,35,0.0002005999999710184
ECC,Level_1,200,36,0.0001674000000093656
ECC,Level_1,200,37,0.00011339999991832883
ECC,Level_1,200,38,0.00036699999986922194
ECC,Level_1,200,39,0.00014209999994818645
ECC,Level_1,200,40,0.00016079999977591797
ECC,Level_1,200,41,0.00017409999986739422
ECC,Level_1,200,42,0.000321499999927255
ECC,Level_1,200,43,0.00013269999999465654
ECC,Level_1,200,44,0.0003093000000262691
ECC,Level_1,200,45,0.00031869999997979903
ECC,Level_1,200,46,0.00031480000006922637
ECC,Level_1,200,47,0.0003102000000581029
ECC,Level_1,200,48,0.0001833999999689695
ECC,Level_1,200,49,0.0001480999999330379
ECC,Level_1,200,50,0.00018899999986388138
ECC,Level_1,200,51,0.000212499999861393
ECC,Level_1,200,52,0.00032239999995908875
ECC,Level_1,200,53,0.00034329999994042737
ECC,Level_1,200,54,0.00018150000005334732
ECC,Level_1,200,55,0.00024920000009842624
ECC,Level_1,200,56,0.0002570999999988999
ECC,Level_1,200,57,0.0001305000000684231
ECC,Level_1,200,58,0.00015549999989161734
ECC,Level_1,200,59,0.000247500000114087
ECC,Level_1,200,60,0.0003166000001328939
ECC,Level_1,200,61,0.0001536999998279498
ECC,Level_1,200,62,0.00014529999998558196
ECC,Level_1,200,63,0.00018310000018573191
ECC,Level_1,200,64,0.00017679999996289553
ECC,Level_1,200,65,0.00021519999995689432
ECC,Level_1,200,66,0.00016819999996187107
ECC,Level_1,200,67,0.00018419999992147496
ECC,Level_1,200,68,0.00017030000003614987
ECC,Level_1,200,69,0.0002868999999918742
ECC,Level_1,200,70,0.00015640000015082478
ECC,Level_1,200,71,0.00019930000007661874
ECC,Level_1,200,72,0.0004293000001780456
ECC,Level_1,200,73,0.00016039999991335208
ECC,Level_1,200,74,0.0001537999999072781
ECC,Level_1,200,75,0.00020870000003014866
ECC,Level_1,200,76,0.00021250000008876668
ECC,Level_1,200,77,0.00017109999998865533
ECC,Level_1,200,78,0.00013319999993655074
ECC,Level_1,200,79,0.0003643000000010943
ECC,Level_1,200,80,0.0001938000000336615
ECC,Level_1,200,81,0.00018639999984770839
ECC,Level_1,200,82,0.00030290000017885177
ECC,Level_1,200,83,0.00018980000004376052
ECC,Level_1,200,84,0.00028190000011818483
ECC,Level_1,200,85,0.00015099999995982216
ECC,Level_1,200,86,0.0002484999999978754
ECC,Level_1,200,87,0.00019559999986995535
ECC,Level_1,200,88,0.0003442999998242158
ECC,Level_1,200,89,0.00018690000001697626
ECC,Level_1,200,90,0.00030220000007830095
ECC,Level_1,200,91,0.00022169999988363998
ECC,Level_1,200,92,0.00023160000000643777
ECC,Level_1,200,93,0.00022310000008474162
ECC,Level_1,200,94,0.00012020000008305942
ECC,Level_1,200,95,0.00020979999999326537
ECC,Level_1,200,96,0.0003828999999768712
ECC,Level_1,200,97,0.00018929999987449264
ECC,Level_1,200,98,0.00029590000008283823
ECC,Level_1,200,99,0.00014509999982692534
ECC,Level_1,200,100,0.0003562999997939187
ECC,Level_1,250,1,0.00033269999994445243
ECC,Level_1,250,2,0.00018559999989520293
